5,565,565,600,600
6,657,657,750,750
7,807,807,900,900
8,821,821,1050,1050
9,902,902,1200,1200
10,973,973,1350,1350
11,1123,1123,1500,1500
12,1131,1131,1650,1650
13,1281,1281,1800,1800
14,1431,1431,1950,1950
15,1581,1581,2100,2100
16,1636,1636,2250,2250
17,1786,1786,2400,2400
18,1936,1936,2550,2550
19,1939,1939,2700,2700
20,1996,1996,2850,2850
21,1998,1998,3000,3000
22,2128,2128,3130,3130
23,2232,2232,3280,3300
24,2382,2382,3410,3415
25,2532,2532,3580,3600
26,2682,2682,3715,3692
27,2739,2739,3745,3865
28,2863,2863,4050,4030
29,2967,2967,4104,4119
30,3007,3007,4284,4330
31,3029,3029,4335,4407
32,3179,3179,4508,4604
33,3329,3329,4739,4725
34,3479,3479,4748,4930
35,3481,3481,4931,5100
36,3620,3620,4976,5173
37,3642,3642,5100,5288
38,3653,3653,5346,5530
39,3661,3661,5226,5665
40,3811,3811,5505,5690
41,3884,3884,5758,5894
42,4016,4016,5864,6095
43,4127,4127,5986,6241
44,4140,4140,6190,6311
45,4290,4290,6256,6316
46,4440,4440,6360,6655
47,4576,4576,6500,6849
48,4595,4595,6799,6794
49,4701,4701,6821,6917
